J0447-2203,04:47:37,-22:03:37,2.025 +/- 0.046,-1.029 +/- 0.01,SED link,0.23 +/- 0.01,-24.6 +/- 0.5,-0.130 +/- 0.69,2.00 +/- 8.6,0.28,-0.007 +/- 0.003
J0453-2807,04:53:15,-28:07:37,2.193 +/- 0.049,-0.342 +/- 0.01,SED link,0.59 +/- 0.04,17.0 +/- 1.5,2.830 +/- 1.82,19.60 +/- 2.0,1.73,0.002 +/- 0.004
J0503+0203,05:03:21,+02:03:05,2.218 +/- 0.050,0.249 +/- 0.03,SED link,0.04 +/- 0.00,41.6 +/- 1.7,1.520 +/- 0.98,1.60 +/- 46.8,0.06,0.042 +/- 0.003
J0521+1638,05:21:10,+16:38:22,8.332 +/- 0.187,-0.636 +/- 0.01,SED link,7.71 +/- 0.05,-8.2 +/- 0.2,-0.830 +/- 0.05,-0.80 +/- 0.3,7.03,0.052 +/- 0.007
J0534+1927,05:34:45,+19:27:21,6.741 +/- 0.152,-0.856 +/- 0.01,SED link,0.02 +/- 0.01,-4.0 +/- 10.7,-2.060 +/- 2.04,6.40 +/- 48.5,0.05,-0.023 +/- 0.002
J0538-4405,05:38:50,-44:05:09,2.156 +/- 0.049,-0.336 +/- 0.03,SED link,0.07 +/- 0.00,70.8 +/- 1.0,3.250 +/- 0.99,48.80 +/- 17.7,0.17,-0.030 +/- 0.001
J0609-1542,06:09:41,-15:42:41,1.674 +/- 0.038,-0.562 +/- 0.04,SED link,2.28 +/- 0.01,9.2 +/- 0.9,0.050 +/- 0.23,68.40 +/- 1.3,2.45,-0.126 +/- 0.004
J0616-3456,06:16:36,-34:56:17,2.904 +/- 0.065,-0.583 +/- 0.01,SED link,0.13 +/- 0.01,-54.1 +/- 17.3,0.220 +/- 0.62,1.40 +/- 10.3,0.16,-0.017 +/- 0.001
J0632+1022,06:32:15,+10:22:02,2.427 +/- 0.055,-0.435 +/- 0.03,SED link,0.24 +/- 0.01,37.0 +/- 0.9,-0.060 +/- 0.70,2.60 +/- 10.3,0.27,-0.021 +/- 0.002
J0725-0054,07:25:51,-00:54:57,11.733 +/- 0.264,0.333 +/- 0.03,SED link,2.52 +/- 0.01,-13.2 +/- 0.6,-0.430 +/- 0.10,48.80 +/- 1.4,2.39,-0.206 +/- 0.004
J0730-1141,07:30:19,-11:41:13,2.260 +/- 0.051,0.473 +/- 0.04,SED link,0.98 +/- 0.01,-72.9 +/- 1.7,1.270 +/- 0.73,108.00 +/- 1.7,1.49,-0.095 +/- 0.002
J0735-1735,07:35:46,-17:35:49,2.600 +/- 0.059,-0.173 +/- 0.01,SED link,0.06 +/- 0.00,50.0 +/- 2.2,-1.410 +/- 1.39,0.00 +/- 38.9,0.07,-0.115 +/- 0.002
J0739+0137,07:39:18,+01:37:05,1.021 +/- 0.023,0.133 +/- 0.03,SED link,5.24 +/- 0.02,-81.9 +/- 0.4,0.790 +/- 0.06,27.60 +/- 1.3,5.81,0.094 +/- 0.006
J0745+1011,07:45:33,+10:11:13,3.225 +/- 0.073,0.518 +/- 0.04,SED link,0.22 +/- 0.01,46.4 +/- 0.4,-0.840 +/- 1.34,3.20 +/- 9.9,0.27,0.109 +/- 0.003
J0825-5010,08:25:27,-50:10:38,6.244 +/- 0.141,0.541 +/- 0.05,SED link,0.23 +/- 0.01,61.3 +/- 2.2,1.300 +/- 1.32,1.40 +/- 15.3,0.12,-0.071 +/- 0.002
J0828-3731,08:28:05,-37:31:06,2.087 +/- 0.047,-0.261 +/- 0.02,SED link,0.35 +/- 0.01,-83.9 +/- 0.2,0.010 +/- 0.61,1.60 +/- 4.0,0.45,-0.055 +/- 0.001
J0842+1835,08:42:05,+18:35:41,1.039 +/- 0.024,-0.305 +/- 0.02,SED link,3.09 +/- 0.03,13.9 +/- 0.3,-1.150 +/- 0.19,32.20 +/- 1.2,2.6,0.129 +/- 0.005
J0854+2006,08:54:49,+06:20:31,2.047 +/- 0.046,0.090 +/- 0.01,SED link,6.83 +/- 0.02,29.8 +/- 0.3,-0.820 +/- 0.09,29.80 +/- 1.0,6.05,0.139 +/- 0.008
J0906-6829,09:06:52,-68:29:40,1.818 +/- 0.041,-1.107 +/- 0.01,SED link,2.27 +/- 0.01,-27.0 +/- 0.5,-0.440 +/- 0.20,-48.00 +/- 1.4,2.06,-0.011 +/- 0.002
J1008+0730,10:08:00,+07:30:17,6.533 +/- 0.147,-0.919 +/- 0.01,SED link,0.22 +/- 0.01,-5.9 +/- 0.2,0.560 +/- 0.49,0.20 +/- 6.0,0.3,-0.016 +/- 0.002
J1051-2023,10:51:32,-20:23:47,1.442 +/- 0.032,-1.075 +/- 0.01,SED link,2.30 +/- 0.01,66.7 +/- 0.1,-1.800 +/- 0.21,-4.00 +/- 1.2,1.91,-0.041 +/- 0.003
J1058+0133,10:58:30,+01:33:59,3.672 +/- 0.083,-0.255 +/- 0.01,SED link,4.07 +/- 0.01,-11.5 +/- 0.5,-0.830 +/- 0.11,-39.80 +/- 1.2,3.65,0.052 +/- 0.005
J1120-2508,11:20:09,-25:08:08,1.638 +/- 0.020,-0.599 +/- 0.02,SED link,1.46 +/- 0.00,-32.1 +/- 0.2,-2.180 +/- 0.37,9.00 +/- 1.5,1.14,-0.007 +/- 0.002
J1130-1449,11:30:07,-14:49:27,4.838 +/- 0.059,-0.234 +/- 0.02,SED link,4.85 +/- 0.01,71.2 +/- 0.5,-0.870 +/- 0.15,36.20 +/- 1.0,4.27,-0.092 +/- 0.004
J1154-3505,11:54:22,-35:05:29,6.084 +/- 0.074,-0.510 +/- 0.02,SED link,0.16 +/- 0.01,49.1 +/- 1.1,1.700 +/- 1.17,-4.80 +/- 8.8,0.19,-0.005 +/- 0.001
J1215-1731,12:15:47,-17:31:45,1.700 +/- 0.021,-0.397 +/- 0.03,SED link,2.01 +/- 0.00,11.9 +/- 0.2,-0.220 +/- 0.15,-14.60 +/- 1.5,1.88,0.009 +/- 0.002
J1239-1023,12:39:43,-10:23:29,1.554 +/- 0.019,-0.068 +/- 0.03,SED link,2.51 +/- 0.01,78.8 +/- 0.2,-0.000 +/- 0.38,2.40 +/- 1.1,2.64,0.102 +/- 0.003
J1246-2547,12:46:47,-25:47:48,0.854 +/- 0.013,-0.009 +/- 0.06,SED link,3.48 +/- 0.01,-25.4 +/- 0.3,0.480 +/- 0.11,-28.20 +/- 1.1,3.67,0.040 +/- 0.004
J1256-0547,12:56:12,-05:47:22,9.782 +/- 0.120,-0.490 +/- 0.05,SED link,3.61 +/- 0.01,-39.8 +/- 0.3,-0.300 +/- 0.27,17.80 +/- 0.9,3.43,0.124 +/- 0.002
J1311-2216,13:11:39,-22:16:42,4.857 +/- 0.060,-1.281 +/- 0.04,SED link,0.05 +/- 0.00,18.5 +/- 7.1,-0.640 +/- 2.33,-12.60 +/- 36.9,0.04,-0.029 +/- 0.002
J1318-4620,13:18:30,-46:20:35,2.205 +/- 0.027,-0.934 +/- 0.02,SED link,0.04 +/- 0.00,-18.1 +/- 14.8,0.170 +/- 1.76,1.60 +/- 30.8,0.1,-0.002 +/- 0.002
J1323-4452,13:23:04,-44:52:34,3.026 +/- 0.037,-0.807 +/- 0.03,SED link,0.11 +/- 0.01,2.8 +/- 2.1,-0.290 +/- 2.14,0.80 +/- 61.5,0.04,0.001 +/- 0.002
J1331+3030,13:31:08,+30:30:33,14.259 +/- 0.174,-0.538 +/- 0.02,SED link,9.30 +/- 0.02,33.1 +/- 0.1,-0.400 +/- 0.06,0.00 +/- 0.2,8.9,0.018 +/- 0.008
J1337-1257,13:37:40,-12:57:25,2.525 +/- 0.031,0.207 +/- 0.04,SED link,1.01 +/- 0.01,3.5 +/- 0.3,-1.200 +/- 0.33,-17.20 +/- 3.5,0.81,0.149 +/- 0.004
J1347+1217,13:47:33,+12:17:24,5.213 +/- 0.064,-0.489 +/- 0.02,SED link,0.04 +/- 0.00,60.0 +/- 3.4,-0.780 +/- 1.71,8.00 +/- 32.8,0.04,0.011 +/- 0.001
J1424-4913,14:24:32,-49:13:50,8.131 +/- 0.099,-0.382 +/- 0.02,SED link,1.84 +/- 0.01,-4.4 +/- 0.2,0.610 +/- 0.09,10.80 +/- 1.5,1.97,-0.010 +/- 0.001
J1427-4206,14:27:56,-42:06:19,4.464 +/- 0.055,-0.045 +/- 0.02,SED link,2.00 +/- 0.01,-46.1 +/- 0.4,-2.620 +/- 0.44,-39.60 +/- 1.4,1.54,0.026 +/- 0.002
J1445+0958,14:45:16,+09:58:36,2.166 +/- 0.027,-0.378 +/- 0.03,SED link,0.86 +/- 0.00,-75.7 +/- 0.3,-0.330 +/- 0.30,14.00 +/- 3.1,0.78,0.165 +/- 0.001
J1501-3918,15:01:35,-39:18:39,2.806 +/- 0.034,-0.678 +/- 0.02,SED link,0.19 +/- 0.01,18.4 +/- 0.7,0.210 +/- 0.65,0.80 +/- 12.2,0.21,-0.006 +/- 0.002
J1512-0906,15:12:51,-09:06:00,2.442 +/- 0.030,-0.034 +/- 0.03,SED link,3.24 +/- 0.01,42.0 +/- 0.1,-0.570 +/- 0.06,-10.40 +/- 0.7,2.95,0.051 +/- 0.001
J1517-2422,15:17:42,-24:22:19,3.026 +/- 0.037,-0.009 +/- 0.02,SED link,3.35 +/- 0.01,41.0 +/- 0.2,0.130 +/- 0.22,-5.40 +/- 0.5,3.33,-0.006 +/- 0.003
J1550+0527,15:50:35,+05:27:10,2.864 +/- 0.035,-0.162 +/- 0.02,SED link,1.77 +/- 0.01,78.1 +/- 0.2,-0.070 +/- 0.10,-6.40 +/- 1.6,1.68,-0.042 +/- 0.001
J1605-1734,16:05:02,-17:34:14,1.376 +/- 0.017,-1.201 +/- 0.03,SED link,2.33 +/- 0.02,-49.1 +/- 1.2,-2.380 +/- 0.38,-110.20 +/- 1.5,1.93,-0.002 +/- 0.002
J1609+2641,16:09:13,+26:41:29,4.619 +/- 0.057,-0.310 +/- 0.04,SED link,0.24 +/- 0.00,-47.9 +/- 0.7,-0.710 +/- 1.01,4.60 +/- 7.7,0.24,0.063 +/- 0.002
J1619-8418,16:19:34,-84:18:19,1.514 +/- 0.019,-1.066 +/- 0.03,SED link,0.04 +/- 0.00,46.6 +/- 14.0,-0.130 +/- 1.25,3.20 +/- 34.3,0.05,0.009 +/- 0.002
J1726-5529,17:26:50,-55:29:40,5.208 +/- 0.064,0.009 +/- 0.03,SED link,0.13 +/- 0.00,-65.5 +/- 0.6,0.430 +/- 0.91,0.20 +/- 15.3,0.18,-0.019 +/- 0.001
J1733-1304,17:33:03,-13:04:50,6.215 +/- 0.076,-0.299 +/- 0.02,SED link,3.58 +/- 0.01,-79.7 +/- 0.8,-0.180 +/- 0.22,-60.40 +/- 1.1,3.65,0.047 +/- 0.002
J1744-5144,17:44:25,-51:44:44,6.917 +/- 0.085,-0.260 +/- 0.02,SED link,0.10 +/- 0.01,-8.7 +/- 1.5,-1.180 +/- 1.48,-10.00 +/- 32.4,0.07,-0.008 +/- 0.001
J1830-3602,18:30:59,-36:02:30,7.227 +/- 0.088,-1.286 +/- 0.02,SED link,0.30 +/- 0.01,-80.4 +/- 0.6,0.020 +/- 0.93,0.40 +/- 7.9,0.36,-0.021 +/- 0.002
J1833-2103,18:33:40,-21:03:40,10.665 +/- 0.131,-0.019 +/- 0.03,SED link,0.14 +/- 0.01,-24.9 +/- 1.5,-1.280 +/- 1.06,-8.40 +/- 15.6,0.11,-0.089 +/- 0.003
J1859-6615,18:59:58,-66:15:02,1.602 +/- 0.020,-0.976 +/- 0.03,SED link,0.16 +/- 0.01,9.2 +/- 0.8,-2.350 +/- 1.37,8.20 +/- 32.6,0.08,-0.003 +/- 0.002
J1911-2006,19:11:10,-20:06:55,2.284 +/- 0.028,0.269 +/- 0.02,SED link,1.79 +/- 0.01,-78.4 +/- 1.0,0.430 +/- 0.18,-80.40 +/- 1.5,1.94,-0.099 +/- 0.002
J1923-2104,19:23:32,-21:04:33,1.215 +/- 0.015,-0.179 +/- 0.03,SED link,2.93 +/- 0.01,-33.1 +/- 0.2,-0.000 +/- 0.21,9.80 +/- 0.8,2.85,0.060 +/- 0.002
J1924-2914,19:24:51,-29:14:30,4.937 +/- 0.061,-0.447 +/- 0.03,SED link,1.31 +/- 0.01,3.4 +/- 0.2,-0.260 +/- 0.16,-18.60 +/- 2.5,1.21,-0.033 +/- 0.002
J1939-6342,19:39:25,-63:42:46,14.554 +/- 0.178,-0.045 +/- 0.05,SED link,0.16 +/- 0.01,-0.2 +/- 1.4,-0.550 +/- 0.74,-1.40 +/- 17.4,0.15,0.019 +/- 0.000
J1951-2737,19:51:23,-27:37:21,1.297 +/- 0.016,-1.022 +/- 0.03,SED link,1.40 +/- 0.01,-80.2 +/- 0.4,-4.540 +/- 0.82,-1.20 +/- 2.8,0.87,-0.006 +/- 0.003
J2007-1016,20:07:57,-10:16:38,1.504 +/- 0.019,-0.807 +/- 0.02,SED link,5.18 +/- 0.01,-12.4 +/- 0.9,-0.100 +/- 0.07,-81.60 +/- 1.0,5.16,0.001 +/- 0.003
J2011-0644,20:11:14,-06:44:04,2.628 +/- 0.033,-0.152 +/- 0.04,SED link,0.25 +/- 0.01,-32.0 +/- 0.3,0.080 +/- 0.45,1.00 +/- 7.4,0.25,-0.068 +/- 0.002
J2052-3640,20:52:17,-36:40:30,1.367 +/- 0.017,-1.258 +/- 0.02,SED link,0.19 +/- 0.01,-79.3 +/- 0.7,0.040 +/- 1.01,2.40 +/- 10.4,0.27,0.007 +/- 0.002
J2130+0502,21:30:33,+02:05:17,4.033 +/- 0.050,-0.441 +/- 0.03,SED link,0.07 +/- 0.00,20.8 +/- 1.9,0.340 +/- 1.40,7.00 +/- 28.9,0.07,0.031 +/- 0.003
J2131-1207,21:31:01,-12:07:05,1.970 +/- 0.024,0.110 +/- 0.03,SED link,1.75 +/- 0.01,-44.1 +/- 0.1,0.250 +/- 0.20,6.80 +/- 0.9,1.86,-0.109 +/- 0.002
J2131-2036,21:31:35,-20:36:56,1.961 +/- 0.024,-1.027 +/- 0.02,SED link,0.05 +/- 0.01,-3.0 +/- 20.3,-0.930 +/- 2.14,19.40 +/- 49.3,0.05,0.034 +/- 0.003
J2134-0153,21:34:10,-01:53:17,1.852 +/- 0.023,0.020 +/- 0.03,SED link,3.91 +/- 0.01,48.0 +/- 0.6,-0.940 +/- 0.12,48.80 +/- 1.2,3.57,-0.045 +/- 0.004
J2136+0041,21:36:39,+00:41:54,3.867 +/- 0.048,1.395 +/- 0.05,SED link,0.33 +/- 0.02,-1.6 +/- 0.6,0.860 +/- 0.79,0.00 +/- 6.7,0.44,-0.090 +/- 0.009
J2148+0657,21:48:05,+06:57:39,3.274 +/- 0.040,0.011 +/- 0.03,SED link,0.72 +/- 0.01,-12.1 +/- 0.4,-1.210 +/- 1.04,7.00 +/- 3.8,0.72,-0.245 +/- 0.003
J2152-2828,21:52:04,-28:28:28,2.918 +/- 0.036,-0.662 +/- 0.03,SED link,2.89 +/- 0.01,37.0 +/- 0.6,-2.990 +/- 0.39,-40.40 +/- 1.2,2.15,-0.003 +/- 0.005
J2158-1501,21:58:06,-15:01:09,4.053 +/- 0.050,-0.111 +/- 0.02,SED link,4.61 +/- 0.01,-52.8 +/- 0.2,-0.240 +/- 0.20,14.80 +/- 0.5,4.45,-0.099 +/- 0.002
J2206-1835,22:06:10,-18:35:39,6.284 +/- 0.077,-0.343 +/- 0.02,SED link,0.15 +/- 0.00,-42.4 +/- 1.2,0.520 +/- 0.62,16.80 +/- 11.6,0.15,-0.006 +/- 0.002
J2212+0152,22:12:38,+01:52:51,2.915 +/- 0.036,-0.584 +/- 0.03,SED link,0.49 +/- 0.01,-5.8 +/- 0.5,-0.290 +/- 0.73,2.00 +/- 5.2,0.57,0.015 +/- 0.002
J2214-3835,22:14:39,-38:35:45,1.810 +/- 0.022,-0.578 +/- 0.02,SED link,0.57 +/- 0.01,-78.8 +/- 0.5,-0.320 +/- 0.78,2.20 +/- 4.6,0.62,-0.001 +/- 0.003
J2225-0457,22:25:47,-04:57:01,7.717 +/- 0.094,-0.461 +/- 0.02,SED link,3.89 +/- 0.01,-60.9 +/- 0.3,-0.530 +/- 0.06,-27.20 +/- 1.2,3.63,-0.042 +/- 0.002
J2229-3823,22:29:47,-38:24:00,2.034 +/- 0.025,-1.262 +/- 0.02,SED link,0.46 +/- 0.01,-86.4 +/- 0.6,-0.580 +/- 0.80,6.40 +/- 5.9,0.48,0.001 +/- 0.003
J2232+1143,22:32:36,+11:43:51,6.939 +/- 0.085,-0.395 +/- 0.02,SED link,3.02 +/- 0.01,-81.7 +/- 0.8,-0.060 +/- 0.48,-53.40 +/- 1.3,3.41,-0.014 +/- 0.002
J2236+2828,22:36:22,+28:28:57,1.795 +/- 0.023,0.272 +/- 0.04,SED link,0.46 +/- 0.01,-39.6 +/- 18.5,-0.740 +/- 1.80,-125.60 +/- 2.8,0.56,-0.057 +/- 0.003
J2246-1206,22:46:18,-12:06:51,1.791 +/- 0.023,0.316 +/- 0.04,SED link,1.56 +/- 0.01,72.2 +/- 0.3,0.050 +/- 0.26,-16.40 +/- 1.7,1.56,-0.117 +/- 0.002
J2253+1608,22:53:58,+16:08:54,16.199 +/- 0.198,-0.193 +/- 0.03,SED link,6.11 +/- 0.02,62.8 +/- 0.6,-0.490 +/- 0.14,-55.00 +/- 1.0,5.6,0.118 +/- 0.005
